Row,mr,Overall,Prevent,Detect,Respond,Health,Norms,Risk,Covid,BUAPC,UP,MA,IM,GDP,HDI,IE,RE,CH,AL,OB,SM,CD,RBP,IN,BCG,ON,PL
Israel,-4.0755055423634,3.61648815426562,44,52.4,3.4170995551716,6.49615270756469,6.44204936336256,4733.44,6.73961525556937,9.72406704006096,8541.086724,30.4,-1.09861228866811,10.6837523544416,-0.230217288664427,-1633.7411055611,-1.58422090150607,-0.707106781186548,4.2,-2.46809953147162,25.5,2.12531713836522,4.07430975749267,-6,-2,2.89037175789616,3.07656347682162
Italy,-1.77235263278739,3.83041155219112,47.5,78.5,3.62157822172087,6.06630035524124,7.86765530510838,4290.25,6.82229273491834,13.0278238452608,4961.511844,46.5,-0.955511445027436,10.410003904714,-0.275680975041804,-1648.97301372703,-1.15884210819261,-0.5,7.8,-2.89037175789616,23.4,2.11791179212745,4.60434577328853,-5.05964425626941,-2,2.63905732961526,2.83564030161077
Jamaica,-3.72697432916662,3.07231682568585,20.1,24.3,2.91227456856365,3.16227766016838,6.56505902486794,3745.44,4.98532328699575,11.3828948812681,3099.594276,29.4,-2.51769647261099,8.62730241409627,-0.473286382647969,-1666.06422445235,-7.58351178115713,-1.04880884817015,4.2,-2.58021682959233,11,2.44965981671321,4.6690470119715,-5.86515131944607,-2.44948974278318,3.46573590279973,2.61741960736898
Jordan,-4.31809629357634,3.47878320959831,31.8,42.9,3.62918660169264,5.27257053058563,6.97137002317335,3113.64,6.44311982687334,8.67294894272415,8277.178441,23.5,-2.63188884013665,8.37332282099653,-0.470106370941726,-1633.40533854889,3.37445152974184,-0.806225774829855,0.7,-2.76000994003292,23.5,2.67773180032868,4.58257569495584,-7.42293742395825,-2.23606797749979,3.46573590279973,3.5029762437497
Japan,-2.88300717963396,3.91051294609405,49.3,70.1,3.77040726204197,6.82641926635041,8.36660026534076,5140.89,7.36569401182686,10.5338189837779,8393.491456,48.6,-0.587786664902119,10.6027907459074,-0.216794833886788,-1536.65610986974,-6.50174858096887,-0.632455532033675,8,-3.51452606696916,21.9,2.03279271362971,4.19523539268061,-5.61248608016091,-0,3.40119738166216,2.48897525096055
Kazakhstan,-4.13181918839896,3.43978635774331,58.8,28.2,2.98511141745701,5.29150262212918,7.26636084983398,3540.25,5.81278812164407,10.9733964471352,3297.975184,31.6,-2.17475172148416,9.18307194482199,-0.39496835316263,-1676.04057230128,-5.77623439737194,-0.836660026534075,4.8,-2.82731362192903,24.4,2.99257422705698,5.20576603392815,-6.28490254498827,-2,3.78418963391826,2.63018442801953
Kenya,-4.06339722244385,3.6113837181884,45.9,68.6,3.33522115286161,4.54972526643093,8.19145896650896,1656.49,6.21432346212796,4.80316504684954,730.6209,20,-3.42100000895834,7.50494206839617,-0.604979338490167,-1664.06490258043,-0.221584546512149,-1.11803398874989,2.8,-3.42751468997953,11.8,2.37520773806159,5.16720427310553,-7.18331399842719,-2,3.63758615972639,3.35506477762449
Kuwait,-5.07374594744103,3.58564240332808,40.9,47.5,3.68893700576474,6.04152298679729,6.49615270756469,3782.25,6.22190235904721,9.80577599101672,10000,29.7,-1.90210752639692,10.3744906821149,-0.391152144312159,-1587.92695046088,-4.13536457576828,-0.670820393249936,0,-2.76000994003292,22.1,2.59129236893962,4.85798312059645,-6,-0,3.09104245335832,4.10916108533586
Lithuania,-3.33168677783125,3.80295246076139,43.5,81.5,3.23643259236457,5.86515131944607,8.49117188614151,4596.84,7.26802159676445,11.5267087055673,4580.447041,44.5,-1.19392246847243,9.87591078476589,-0.313049516849971,-1697.94405090392,-2.77706398740313,-0.707106781186548,13.2,-2.45100509811232,27.1,2.74572338027716,5.41294744108974,-6.36396103067893,-1.73205080756888,3.40119738166216,2.4950445137983
Morocco,-4.00489242331702,3.52230651172327,34.6,56.8,3.72050943036845,5.43139024560011,5.71839138219832,3124.81,6.16231595514499,6.27795034429232,3900.377209,29.1,-2.95491027903374,8.07215530818825,-0.537587202228624,-1725.16897723093,-4.11741446888478,-0.974679434480896,0.7,-2.46809953147162,14.7,2.31458905452588,5.10881590977792,-6.38748776906852,-0,3.40119738166216,3.46306257952816
Monaco,-4.21900047716625,3.19778492538852,11.1,23.3,2.96249606840737,5.56776436283002,5.94138031100518,6905.61,5.56218761230532,9.91817555265584,10000,55.4,-0.955511445027436,12.1321085091854,-0,-1649.03320160632,-2.74634741103455,-0.866025403784439,6.7,-2.76000994003292,23.5,2.58132576134807,4.86826457785523,-6,-3.16227766016838,3.73766961828337,3.18687661393925
Moldova,-3.31678003984957,3.50068013993162,46.5,42.9,3.14475485547118,6.03324125159934,7.52994023880668,2218.41,6.39930851149461,12.8073948431365,1817.231641,37.7,-2.61006979274201,8.41161042884117,-0.505964425626941,-1651.07449862203,-4.15229632156735,-0.974679434480896,11.4,-2.94443897916644,25.3,2.92011383805892,5.45893762558247,-7.44983221287567,-1.73205080756888,3.36729582998647,2.80401467680828
Madagascar,-4.23309251140553,3.42279948159101,30.1,41.9,3.86642223319412,4.38178046004133,7.44311762637136,1049.76,6.07926568463394,5.34799449449978,1383.170481,20.3,-3.64283551561253,6.25766758788264,-0.661059755241536,-1651.24559045588,-8.72085017966253,-1.16189500386222,2,-3.48431228837266,28.9,2.83973944577827,5.30094331227943,-7.05691150575094,-2,3.68887945411394,3.12906811312176
Maldives,-5.39916772672798,3.23324712515631,21.8,25.5,3.42564233961016,4.25440947723653,6.74536878161602,3398.89,5.33676254697158,3.88985592019807,1584.676864,29.5,-2.00148000021012,9.28646773236373,-0.488876262463213,-1631.64364982063,-3.1360398778598,-0.866025403784439,2.2,-3.37758751602302,23.5,2.37520773806159,4.93963561409139,-6.05805249234438,-0,4.12713438504509,2.13549346350335
Mexico,-1.97362554890186,3.86195753842252,45.5,71.2,3.70357579805203,6.84835746730557,8.59651092013498,3249,6.91811714468512,8.14688712147161,6424.984336,29.3,-2.39789527279837,9.19654566095399,-0.426614580154031,-1737.5592076243,-4.34496798947912,-0.741619848709566,5,-2.19722457733622,13.9,2.50399361701224,4.43846820423443,-6.17251974480439,-1.73205080756888,3.25809653802148,3.07692185508545
North Macedonia,-2.82477447541035,3.39410744053,37,41.7,3.21077099650064,5.03984126734166,6.6932802122726,3329.29,6.17331111438121,10.3683611350107,3359.709369,39,-2.16332302566054,8.71489585024849,-0.446094160463909,-1650.48810962091,-3.92334651588768,-0.866025403784439,6.2,-2.7408400239252,23.5,2.72792240414759,5.33853912601566,-6,-1.4142135623731,3.13549421592915,3.41357550610734
Mali,-2.95501549235384,3.07231682568585,23.4,25.5,3.08987330293282,3.60555127546399,7.29383301152419,1030.41,4.15275839639758,7.10660380676312,1794.030736,16,-4.12713438504509,6.79234442747081,-0.727323861838727,-1708.54089795943,-2.0024557008843,-1.24498995979887,1.3,-3.37758751602302,12,2.90833905759545,5.70964096944808,-5.15751878329105,-4,3.78418963391826,3.63175312534749
Malta,-4.29523490236762,3.34120362514931,35,32.9,2.81891949282596,4.85798312059645,7.00713921654194,5227.29,4.97199051237755,12.3942507936139,8951.430544,42.3,-1.80828877117927,10.2892940229811,-0.279284800875379,-1647.60765960832,0.53458747137765,-0.591607978309961,8,-2.19722457733622,25.1,2.21041889918423,4.40454310910905,-5.02991053598372,-2,3.3322045101752,2.65118679080326
Montenegro,-3.55452552391476,3.52230651172327,36.5,55.4,3.17810575054884,5.43139024560011,7.3143694191639,3457.44,5.7074764437816,12.5646984927614,4463.976969,39.6,-0.832909122935104,9.08613676851688,-0.376828873628335,-1649.70057889303,-2.14407168670623,-0.806225774829855,11.5,-2.68102152871429,23.5,2.7412947864932,5.39444158370447,-6,-4,3.66356164612965,3.06056404067513
Mauritania,-3.77148298264915,3.01840536839884,9.9,39.5,2.89248948376222,4.12310562561766,6.02494813255683,1560.25,4.45604329412097,8.6275513596269,2880.683584,21,-3.94158180766969,7.42535788702715,-0.660302960768767,-1641.3744240727,0.608782698426356,-1.16189500386222,0,-3.22684399451738,23.5,2.62558565919638,5.6302753041037,-5.06951674225463,-3,3.40119738166216,3.83736490956874
Mauritius,-3.48993399629983,3.26794803726878,27.3,42.3,3.26794803726878,3.88587184554509,5.39444158370447,4382.44,5.99228431104264,10.2260453003104,1664.068849,36.3,-2.61006979274201,9.32402613638,-0.407430975749267,-1648.97301372703,-6.80691706198244,-0.836660026534075,4.3,-3.29953372788566,26.9,2.82728428812555,5,-6.09918027279076,-0,3.71357206670431,2.68364905934675
Malaysia,-4.08161325961534,3.96214283916725,51.4,73.2,3.94293990684533,7.55645419492503,7.64852927038918,5184,7.45214618473233,11.11488836921,5781.473296,29.2,-1.90210752639692,9.3426835589639,-0.392428337406972,-1571.34114691877,-0.968466990277275,-0.707106781186548,0.9,-3.10458667846607,21.8,2.58132576134807,4.78539444560216,-5.3103672189407,-1,2.77258872223978,2.79657773980424
